key,en,th
OPEN_SHOP,Open,เปิดร้าน
TUTORIAL,Tutorial,ฝึกสอน
PLAY,Play,เล่น
LANG_TITLE,Langauge: ,ภาษา:
LANG,English,ไทย
GAME_TITLE,Restaurant,ร้านอาหาร
GRILL,Grill,ปิ้งย่าง
BOIL,Boil,ต้ม
FRY,Fry,ทอด
UNKNOWN,What is this?,คืออะไร?
CHICKEN_KHAO_SOI,Chicken Khao Soi,ข้าวซอยไก่ 
KHAI_PAM,Khai Pam,ไข่ป่าม
ONG_PU_NA,Ong Pu Na,อ่องปูนา
AEB_PLA_NIL,Aeb Pla Nil,แอ๊บปลานิล
LON_PLA_SOM,Lon Pla Som,หลนปลาส้ม
FISH,Fish,ปลา
PORK,Pork,หมู
CHICKEN,Chicken,ไก่
CHICKEN_EGG,Chicken Egg,ไข่ไก่
FIELD_CRAB,Field Crab,ปูนา
SALT,Salt,เกลือ
CHILI,Chili,พริกขี้หนู
RICE_NOODLE,Rice Noodle,เส้นข้าวซอย
LIME,Lime,มะนาว
CILANTRO,Cilantro,ผักชี
